,feature,importance_gain,importance_split,trn_score,run
0,low_volume_percent,13.321310300379992,10,0.9771121112037763,1
1,middle_volume_percent,32.25805879943073,31,0.9771121112037763,1
2,take_amount_in_later_12_month_highest,220.06382267177105,212,0.9771121112037763,1
3,trans_amount_increase_rate_lately,333.237645490095,310,0.9771121112037763,1
4,trans_activity_month,21.336033310741186,20,0.9771121112037763,1
5,trans_activity_day,4.703386068344116,4,0.9771121112037763,1
6,transd_mcc,159.82667086832225,115,0.9771121112037763,1
7,trans_days_interval_filter,200.3848171364516,167,0.9771121112037763,1
8,trans_days_interval,271.5806090012193,190,0.9771121112037763,1
9,regional_mobility,31.53905798494816,26,0.9771121112037763,1
10,repayment_capability,341.8936864808202,253,0.9771121112037763,1
11,is_high_user,0.0,0,0.9771121112037763,1
12,number_of_trans_from_2011,180.13872187957168,134,0.9771121112037763,1
13,first_transaction_time,335.33339695446193,255,0.9771121112037763,1
14,historical_trans_amount,287.4364557694644,205,0.9771121112037763,1
15,historical_trans_day,277.10341323167086,183,0.9771121112037763,1
16,rank_trad_1_month,3.8519659638404846,2,0.9771121112037763,1
17,trans_amount_3_month,327.46270381100476,220,0.9771121112037763,1
18,avg_consume_less_12_valid_month,90.5633939281106,65,0.9771121112037763,1
19,abs,385.0595896244049,262,0.9771121112037763,1
20,top_trans_count_last_1_month,5.7223080098629,4,0.9771121112037763,1
21,avg_price_last_12_month,314.60933354124427,223,0.9771121112037763,1
22,avg_price_top_last_12_valid_month,54.23788711428642,37,0.9771121112037763,1
23,reg_preference_for_trad,25.81420788168907,19,0.9771121112037763,1
24,trans_top_time_last_1_month,105.05065824091434,80,0.9771121112037763,1
25,trans_top_time_last_6_month,145.88317734375596,105,0.9771121112037763,1
26,consume_top_time_last_1_month,93.17358864843845,66,0.9771121112037763,1
27,consume_top_time_last_6_month,132.58488975465298,101,0.9771121112037763,1
28,cross_consume_count_last_1_month,39.17407092452049,27,0.9771121112037763,1
29,trans_fail_top_count_enum_last_1_month,65.25827924907207,48,0.9771121112037763,1
30,trans_fail_top_count_enum_last_6_month,53.20909297466278,40,0.9771121112037763,1
31,trans_fail_top_count_enum_last_12_month,67.65173119306564,44,0.9771121112037763,1
32,consume_mini_time_last_1_month,209.00445023179054,141,0.9771121112037763,1
33,max_cumulative_consume_later_1_month,332.6873251721263,209,0.9771121112037763,1
34,max_consume_count_later_6_month,93.95756739377975,68,0.9771121112037763,1
35,railway_consume_count_last_12_month,0.0,0,0.9771121112037763,1
36,pawns_auctions_trusts_consume_last_1_month,322.35860669612885,198,0.9771121112037763,1
37,pawns_auctions_trusts_consume_last_6_month,278.263841971755,175,0.9771121112037763,1
38,jewelry_consume_count_last_6_month,0.0,0,0.9771121112037763,1
39,trans_day_last_12_month,276.7163190841675,171,0.9771121112037763,1
40,apply_credibility,158.27052168548107,112,0.9771121112037763,1
41,query_org_count,108.94761428236961,66,0.9771121112037763,1
42,query_finance_count,212.41212709248066,123,0.9771121112037763,1
43,query_cash_count,106.429214194417,65,0.9771121112037763,1
44,query_sum_count,182.79471507668495,115,0.9771121112037763,1
45,latest_one_month_apply,89.73603016138077,65,0.9771121112037763,1
46,latest_three_month_apply,124.56576889753342,77,0.9771121112037763,1
47,latest_six_month_apply,128.79466681182384,81,0.9771121112037763,1
48,loans_score,242.47936457395554,166,0.9771121112037763,1
49,loans_credibility_behavior,59.79016640782356,41,0.9771121112037763,1
50,loans_count,130.7556302472949,89,0.9771121112037763,1
51,loans_settle_count,130.07190117239952,85,0.9771121112037763,1
52,loans_overdue_count,24.013883978128433,19,0.9771121112037763,1
53,loans_org_count_behavior,91.22335594892502,56,0.9771121112037763,1
54,consfin_org_count_behavior,61.861264646053314,39,0.9771121112037763,1
55,latest_one_month_loan,26.45234614610672,16,0.9771121112037763,1
56,latest_three_month_loan,132.2466000020504,86,0.9771121112037763,1
57,latest_six_month_loan,130.9739507958293,79,0.9771121112037763,1
58,history_suc_fee,185.71885074675083,120,0.9771121112037763,1
59,history_fail_fee,206.8019475787878,135,0.9771121112037763,1
60,latest_one_month_suc,44.9006362259388,36,0.9771121112037763,1
61,latest_one_month_fail,32.97712701559067,20,0.9771121112037763,1
62,loans_long_time,238.87261385843158,162,0.9771121112037763,1
63,loans_credit_limit,143.45375964045525,96,0.9771121112037763,1
64,loans_credibility_limit,116.95018970966339,80,0.9771121112037763,1
65,loans_product_count,73.19280976057053,46,0.9771121112037763,1
66,loans_max_limit,221.04403710365295,141,0.9771121112037763,1
67,loans_avg_limit,242.65093955397606,162,0.9771121112037763,1
68,consfin_credit_limit,253.57991683483124,168,0.9771121112037763,1
69,consfin_credibility,91.44056043028831,65,0.9771121112037763,1
70,consfin_product_count,66.40876403450966,49,0.9771121112037763,1
71,consfin_max_limit,200.0449965596199,129,0.9771121112037763,1
72,consfin_avg_limit,346.939242079854,217,0.9771121112037763,1
73,latest_query_day,174.33075726032257,112,0.9771121112037763,1
74,loans_latest_day,176.01083417236805,118,0.9771121112037763,1
75,tradeno_day,20.638629972934723,13,0.9771121112037763,1
76,is_Li_Ming,0.0,0,0.9771121112037763,1
77,cust_id_bin,54.770961090922356,36,0.9771121112037763,1
78,student_feat_1,38.18686032295227,28,0.9771121112037763,1
79,student_feat_2,0.0,0,0.9771121112037763,1
80,latest_query_time_year,0.0,0,0.9771121112037763,1
81,latest_query_time_month,21.36648190021515,14,0.9771121112037763,1
82,latest_query_time_dayofyear,204.49352623522282,132,0.9771121112037763,1
83,latest_query_time_dayofweek,77.67189086973667,54,0.9771121112037763,1
